current_official_name_of_satellite,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,perigee_km,launch_mass_kg,date_of_launch,expected_lifetime_yrs,launch_vehicle,norad_number,launch_year
Starlink-5904                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55997,2023
Starlink-5905                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55986,2023
Starlink-5906                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55962,2023
Starlink-5907                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56021,2023
Starlink-5908                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55951,2023
Starlink-5909                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55938,2023
Starlink-5910                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56000,2023
Starlink-5911                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55950,2023
Starlink-5912                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56020,2023
Starlink-5913                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55937,2023
Starlink-5914                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55941,2023
Starlink-5915                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55987,2023
Starlink-5916                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55988,2023
Starlink-5917                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55942,2023
Starlink-5918                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55939,2023
Starlink-5919                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55927,2023
Starlink-5920                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55935,2023
Starlink-5921                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55926,2023
Starlink-5922                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55925,2023
Starlink-5924                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55963,2023
Starlink-5925                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55945,2023
Starlink-5926                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55944,2023
Starlink-5927                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55934,2023
Starlink-5928                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55958,2023
Starlink-5929                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55959,2023
Starlink-5930                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55928,2023
Starlink-5932                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55943,2023
Starlink-5933                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55961,2023
Starlink-5934                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56017,2023
Starlink-5936                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56011,2023
Starlink-5938                ,USA,spacex,Commercial,Communications,LEO,Polar,577.0,581.0,577.0,290.0,2023-03-17,4.0,SpaceX Falcon,55960,2023
Starlink-5939,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56015,2023
Starlink-5940                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56012,2023
Starlink-5941,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56013,2023
Starlink-5942                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56014,2023
Starlink-5943                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56016,2023
Starlink-5944                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56001,2023
Starlink-5945                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56018,2023
Starlink-5946                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55990,2023
Starlink-5947                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55989,2023
Starlink-5948                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55991,2023
Starlink-5949                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56019,2023
Starlink-5955,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56342,2023
Starlink-5956                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55994,2023
Starlink-5957                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55995,2023
Starlink-5962                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55992,2023
Starlink-5964,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56318,2023
Starlink-5964                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56009,2023
Starlink-5967,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56330,2023
Starlink-5968                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,56010,2023
Starlink-5969                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,565.0,567.0,565.0,290.0,2023-03-24,4.0,SpaceX Falcon,55993,2023
Starlink-5972,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56362,2023
Starlink-5974,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56344,2023
Starlink-5976,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56343,2023
Starlink-5979,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56345,2023
Starlink-5980,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56326,2023
Starlink-5981,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56325,2023
Starlink-5984,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56329,2023
Starlink-5988,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56320,2023
Starlink-5991,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56331,2023
Starlink-5992,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56328,2023
Starlink-5997,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56327,2023
Starlink-6030                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56107,2023
Starlink-6033,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56322,2023
Starlink-6034,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56324,2023
Starlink-6035,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56323,2023
Starlink-6038,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56317,2023
Starlink-6039,USA,spacex,Commercial,Communications,LEO,Sun-Synchronous,569.0,571.0,569.0,300.0,2023-04-27,4.0,SpaceX Falcon,56319,2023
Starlink-6062                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56104,2023
Starlink-6066                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56105,2023
Starlink-6071                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56132,2023
Starlink-6075                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56102,2023
Starlink-6076                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56100,2023
Starlink-6077                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56097,2023
Starlink-6078                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56106,2023
Starlink-6079                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56120,2023
Starlink-6080                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56112,2023
Starlink-6081                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56108,2023
Starlink-6082                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56110,2023
Starlink-6083                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56109,2023
Starlink-6084                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56111,2023
Starlink-6088                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56098,2023
Starlink-6089                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56096,2023
Starlink-6090                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56095,2023
Starlink-6091                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56119,2023
Starlink-6092                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56121,2023
Starlink-6093                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56099,2023
Starlink-6094                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56122,2023
Starlink-6095                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56101,2023
Starlink-6096                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56103,2023
Starlink-6101                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56115,2023
Starlink-6102,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56093,2023
Starlink-6103                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56114,2023
Starlink-6104                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56127,2023
Starlink-6105                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56118,2023
Starlink-6107                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56117,2023
Starlink-6109                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56094,2023
Starlink-6113                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56113,2023
Starlink-6114                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56116,2023
Starlink-6115                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56123,2023
Starlink-6117,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56130,2023
Starlink-6119                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56125,2023
Starlink-6120                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56131,2023
Starlink-6121                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56129,2023
Starlink-6122                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56128,2023
Starlink-6124                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56126,2023
Starlink-6126                ,USA,spacex,Commercial,Communications,LEO,Non-Polar Inclined,564.0,567.0,564.0,290.0,2023-03-29,4.0,SpaceX Falcon,56124,2023
Steamsat-1,Multinational_countries,satrevolution/steamjet,Commercial,Technology Development,LEO,Non-Polar Inclined,495.0,501.0,495.0,5.0,2022-01-13,5.0,LauncherOne,51099,2022
STEP Cube Lab 2,South Korea,chosun university,Civil,Earth Observation,LEO,Sun-Synchronous,693.0,704.0,693.0,10.0,2022-06-21,4.0,Nuri,52897,2022
Sternula-1,Denmark,sternula,Commercial,Earth Observation,LEO,Sun-Synchronous,506.0,521.0,506.0,10.0,2023-01-03,4.0,SpaceX Falcon,55044,2023
STORK-1,Poland,satrevolution,Commercial,Earth Observation,LEO,Sun-Synchronous,521.0,540.0,521.0,5.0,2022-01-13,5.0,SpaceX Falcon,51087,2022
STORK-2,Poland,satrevolution,Commercial,Earth Observation,LEO,Sun-Synchronous,519.0,534.0,519.0,5.0,2022-01-13,5.0,SpaceX Falcon,51088,2022
STORK-3,Poland,satrevolution,Commercial,Earth Observation,LEO,Non-Polar Inclined,502.0,508.0,502.0,5.0,2022-01-13,5.0,LauncherOne,51098,2022
STORK-4 ,Poland,satrevolution,Commercial,Earth Observation,LEO,Non-Polar Inclined,495.0,525.0,495.0,5.0,2021-06-30,5.0,LauncherOne,48873,2021
STORK-5 (Marta),Poland,satrevolution,Commercial,Earth Observation,LEO,Non-Polar Inclined,495.0,522.0,495.0,5.0,2021-06-30,5.0,LauncherOne,48872,2021
STPSat-6,USA,atlas 5,Military,Technology Demonstration,GEO,Unknown,36.097,36.11,36.097,1.0,2021-12-07,2.0,Atlas Family,49817,2021
Cosmos 2385,Russia,ministry of defense,Military,Communications,LEO,Polar,1.417,1.425,1.417,225.0,2001-12-27,3.0,Tsyklon 3,27056,2001
Cosmos 2386,Russia,ministry of defense,Military,Communications,LEO,Polar,1.415,1.419,1.415,225.0,2001-12-27,3.0,Tsyklon 3,27057,2001
Cosmos 2390,Russia,ministry of defense,Military,Communications,LEO,Equatorial,1.468,1.506,1.468,225.0,2002-07-08,3.0,Kosmos 3M,27464,2002
Cosmos 2391,Russia,ministry of defense,Military,Communications,LEO,Polar,1.466,1.506,1.466,225.0,2002-07-08,3.0,Kosmos 3M,27465,2002
Cosmos 2400,Russia,ministry of defense,Military,Communications,LEO,Polar,1.467,1.503,1.467,225.0,2003-08-19,3.0,Kosmos 3M,27868,2003
Cosmos 2401,Russia,ministry of defense,Military,Communications,LEO,Polar,1.465,1.502,1.465,225.0,2003-08-19,3.0,Kosmos 3M,27869,2003
Cosmos 2408,Russia,ministry of defense,Military,Communications,LEO,Polar,1.471,1.495,1.471,225.0,2004-09-23,3.0,Kosmos 3M,28419,2004
Cosmos 2409,Russia,ministry of defense,Military,Communications,LEO,Polar,1.474,1.495,1.474,225.0,2004-09-23,3.0,Kosmos 3M,28420,2004
StriX β,Japan,synspective,Commercial,Earth Observation,LEO,Sun-Synchronous,555.0,572.0,555.0,150.0,2022-02-28,4.0,Electron,51847,2022
StriX-1,Japan,synspective,Commercial,Earth Observation,LEO,Sun-Synchronous,558.0,575.0,558.0,150.0,2022-09-15,4.0,Electron,53815,2022
StriX-a,Japan,synspective,Commercial,Earth Observation,LEO,Sun-Synchronous,489.0,511.0,489.0,150.0,2020-12-15,4.0,Electron,47253,2020
STSat-2C,South Korea,korea aerospace research institute (kari),Government,Technology Development,LEO,Polar,298.0,1.482,298.0,93.0,2013-01-30,2.0,Naro-1,39068,2013
205,USA,missile defense agency (mda),Military,Technology Development,LEO,Sun-Synchronous,867.0,879.0,867.0,199.87465311986864,2009-05-05,4.0,Delta Family,34903,2009
SUCHAI-2,Chile,university of chile,Civil,Earth Science,LEO,Sun-Synchronous,493.0,507.0,493.0,4.0,2022-04-01,4.0,SpaceX Falcon,52192,2022
SUCHAI-3,Chile,university of chile,Civil,Earth Science,LEO,Sun-Synchronous,497.0,513.0,497.0,4.0,2022-04-01,4.0,SpaceX Falcon,52191,2022
Sunstorm,ESA,european space agency (esa),Government,Space Science,LEO,Sun-Synchronous,524.0,565.0,524.0,4.0,2021-08-17,4.0,Vega Family,49068,2021
Suomi-100,Finland,aalto university,Civil,Technology Development,LEO,Sun-Synchronous,573.0,589.0,573.0,1.0,2018-12-03,4.0,SpaceX Falcon,43804,2018
Superbird 7,Japan,sky perfect jsat corporation,Commercial,Communications,GEO,Unknown,35.778,35.794,35.778,5.0,2008-08-14,15.0,Ariane Family,33274,2008
Superbird 8/DSN 1,Japan,sky perfect jsat corporation/dsn corp.,Commercial/Military,Communications,GEO,Unknown,35.774,35.799,35.774,5.348,2018-04-05,15.0,Ariane Family,43271,2018
Superview 1-01,China,beijing space view technology,Commercial,Earth Observation,LEO,Sun-Synchronous,352.0,525.0,352.0,560.0,2016-12-28,8.0,Long March Family,41907,2016
Superview 1-02,China,beijing space view technology,Commercial,Earth Observation,LEO,Sun-Synchronous,343.0,548.0,343.0,560.0,2016-12-28,8.0,Long March Family,41908,2016
Superview 1-03,China,beijing space view technology,Commercial,Earth Observation,LEO,Sun-Synchronous,517.0,535.0,517.0,560.0,2018-01-08,8.0,Long March Family,43099,2018
Superview 1-04,China,beijing space view technology,Commercial,Earth Observation,LEO,Sun-Synchronous,515.0,534.0,515.0,560.0,2018-01-08,8.0,Long March Family,43100,2018
SWARM-A,ESA,european space agency (esa),Government,Earth Observation,LEO,Polar,473.0,476.0,473.0,468.0,2013-11-22,4.0,Rokot,39452,2013
SWARM-B,ESA,european space agency (esa),Government,Earth Observation,LEO,Polar,473.0,476.0,473.0,468.0,2013-11-22,4.0,Rokot,39451,2013
SWARM-C,ESA,european space agency (esa),Government,Earth Observation,LEO,Polar,486.0,496.0,486.0,468.0,2013-11-22,4.0,Rokot,39453,2013
Swift,Multinational_countries,goddard space flight center/penn state university,Civil/Government,Space Science,LEO,Non-Polar Inclined,551.0,576.0,551.0,1.463,2004-11-20,7.0,Delta Family,28485,2004
SwissCube,Switzerland,ecole polytechnique fédérale de lanne (epfl),Civil,Technology Development,LEO,Sun-Synchronous,710.0,720.0,710.0,1.0,2009-09-23,1.0,ISRO PSLV,35932,2009
Syracuse 3A,France,defense ministry,Military,Communications,GEO,Unknown,35.778,35.792,35.778,3.725,2005-10-13,12.0,Ariane Family,28885,2005
Syracuse 3B,France,defense ministry,Military,Communications,GEO,Unknown,35.772,35.801,35.772,3.75,2006-08-11,12.0,Ariane Family,29273,2006
Syracuse 4A,France,defense ministry,Military,Communications,GEO,Unknown,35.77,35.8,35.77,3.852,2021-10-24,15.0,Ariane Family,49333,2021
TacSat 4,USA,naval research laboratory,Military,Technology Development,ELLIPTICAL,Molniya,658.0,11.836,658.0,450.0,2011-09-27,7.0,Minotaur Family,37818,2011
TacSat 6,USA,operational responsive space (ors) office,Military,Technology Development,LEO,Polar,443.0,886.0,443.0,199.87465311986864,2013-12-05,4.0,Atlas Family,39473,2013
Taifa-1,Kenya,kenya space agency,Government,Earth Observation,LEO,Sun-Synchronous,489.0,506.0,489.0,4.0,2023-04-15,4.0,SpaceX Falcon,56207,2023
Taijing 2-01,China,"beijing minospace technology co., ltd.",Commercial,Technology Development,LEO,Sun-Synchronous,494.0,505.0,494.0,70.0,2021-04-27,4.0,Long March Family,48256,2021
Taijing 3-01,China,minospace,Commercial,Earth Observation,LEO,Sun-Synchronous,527.0,550.0,527.0,240.0,2022-02-27,4.0,Long March Family,51829,2022
Taijing 4-01,China,minospace,Commercial,Earth Observation,LEO,Sun-Synchronous,528.0,549.0,528.0,350.0,2022-02-27,4.0,Long March Family,51830,2022
TanDEM-X,Germany,german aerospace center (dlr)/astrium,Government,Earth Observation,LEO,Sun-Synchronous,507.0,510.0,507.0,1.35,2010-06-21,5.0,Dnepr,36605,2010
Tangguo Guan,China,alibaba,Commercial,Communications,LEO,Sun-Synchronous,640.0,940.0,640.0,25.0,2018-10-24,4.0,Long March Family,43656,2018
Tango,ESA,european space agency (esa) (and 250 international scientific investigators),Government,Space Science,ELLIPTICAL,Deep Highly Eccentric,17.313,120.961,17.313,1.2,2000-08-09,4.0,Soyuz Family,26464,2000
Tanker-001 Tenzing,USA,orbit fab,Commercial,Technology Development,LEO,Sun-Synchronous,512.0,536.0,512.0,35.0,2021-06-30,4.0,SpaceX Falcon,48951,2021
TanSat,China,china meteorological administration,Government,Earth Observation,LEO,Sun-Synchronous,690.0,718.0,690.0,620.0,2016-12-21,3.0,Long March Family,41898,2016
TAUSat-2,Israel,herzliya science center,Civil,Space Science,LEO,Sun-Synchronous,514.0,536.0,514.0,4.0,2023-01-03,4.0,SpaceX Falcon,55073,2023
TDO,USA,us air force,Military,Technology Development,ELLIPTICAL,Molniya,216.0,35.224,216.0,20.0,2019-08-08,7.0,Atlas Family,44482,2019
TDRS-10,USA,national aeronautics and space administration (nasa),Government,Communications,GEO,Unknown,35.768,35.802,35.768,3.18,2002-12-04,11.0,Atlas Family,27566,2002
TDRS-11,USA,national aeronautics and space administration (nasa)/goddard space flight center,Government,Communications,GEO,Unknown,35.732,35.844,35.732,3.454,2013-01-31,15.0,Atlas Family,39070,2013
TDRS-12,USA,national aeronautics and space administration (nasa),Government,Communications,GEO,Unknown,35.78,35.785,35.78,3.454,2014-01-23,15.0,Atlas Family,39504,2014
TDRS-13,USA,national aeronautics and space administration (nasa),Government,Communications,GEO,Unknown,35.755,35.813,35.755,3.452,2017-08-18,15.0,Atlas Family,42915,2017
TDRS-3,USA,national aeronautics and space administration (nasa),Government,Communications,GEO,Unknown,35.693,35.878,35.693,3.18,1988-09-29,10.0,Space Shuttle Family,19548,1988
TDRS-5,USA,ses s.a.,Commercial/Government,Communications,GEO,Unknown,35.773,35.796,35.773,3.18,1991-08-02,10.0,Space Shuttle Family,21639,1991
TDRS-6,USA,national aeronautics and space administration (nasa)/ses americom (ses [société européenne des satellites (ses)]),Commercial/Government,Communications,GEO,Unknown,35.773,35.787,35.773,3.18,1993-01-13,10.0,Space Shuttle Family,22314,1993
TDRS-7,USA,national aeronautics and space administration (nasa),Government,Communications,GEO,Unknown,35.767,35.803,35.767,3.18,1995-07-13,10.0,Space Shuttle Family,23613,1995
