OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11242 [DTC],2024-154A,2026-04-15T20:17:35.758464,15.69708512,9.243e-05,53.16,307.8429,90.7463,269.3661,0,U,60903,999,9435,7.2035e-07,-5.01e-06,0.0
STARLINK-11256 [DTC],2024-154B,2026-04-15T20:10:31.730592,15.69708421,4.944e-05,53.1588,307.8103,85.1983,274.9092,0,U,60904,999,9435,3.641041e-06,-1.47e-06,0.0
STARLINK-11159 [DTC],2024-154C,2026-04-16T06:38:20.602176,15.69702298,8.742e-05,53.1579,306.2811,92.4662,267.6456,0,U,60905,999,9441,1.189838e-06,-4.44e-06,0.0
STARLINK-11264 [DTC],2024-154D,2026-04-16T06:31:16.440384,15.69708282,8.328e-05,53.1587,306.2472,89.7362,270.3751,0,U,60906,999,9441,2.6410372e-05,2.612e-05,0.0
STARLINK-11226 [DTC],2024-154E,2026-04-16T06:24:12.816864,15.6970401,9.992e-05,53.1589,306.217,75.6054,284.5075,0,U,60907,999,9441,-1.421211e-06,-7.6e-06,0.0
STARLINK-11229 [DTC],2024-154F,2026-04-16T06:17:08.668032,15.6970906,7.939e-05,53.1593,306.1837,90.1611,269.9498,0,U,60908,999,9441,7.202859e-06,2.85e-06,0.0
STARLINK-11265 [DTC],2024-154G,2026-04-16T06:45:23.886144,15.69709956,4.986e-05,53.1585,306.3132,134.5115,225.5944,0,U,60909,999,9441,-1.89167e-06,-8.17e-06,0.0
STARLINK-11250 [DTC],2024-154H,2026-04-16T06:10:05.045376,15.69705967,9.751e-05,53.1601,306.151,89.7699,270.3431,0,U,60910,999,9441,-2.937062e-06,-9.44e-06,0.0
STARLINK-11190 [DTC],2024-154J,2026-04-16T06:03:00.810144,15.69709277,0.00010662,53.1592,306.1175,94.7755,265.3384,0,U,60911,999,9440,4.972658e-06,1.4e-07,0.0
STARLINK-11225 [DTC],2024-154K,2026-04-16T04:24:15.942240,15.69715906,7.863e-05,53.1604,306.3969,129.5342,230.5746,0,U,60912,999,9439,2.7959291e-05,2.801e-05,0.0
STARLINK-11273 [DTC],2024-154L,2026-04-15T23:42:08.924256,15.69710528,5.629e-05,53.1569,307.3103,86.0462,274.0621,0,U,60913,999,9436,1.2242639e-05,8.96e-06,0.0
